Time,CPU Usage (%),Memory Usage (%),Disk Read (MB),Disk Write (MB),Download Speed (KB/s),Upload Speed (KB/s)
16:47:33,1.6,69.5,6923.7,2330.28,0.41,11.75
16:47:33,2.5,69.9,6923.7,2330.36,0.41,11.75
16:47:35,0.9,69.9,6923.7,2330.4,0.06,0.05
16:47:36,2.9,69.9,6923.7,2330.78,0.44,4.75
16:47:37,2.2,69.8,6923.7,2330.78,0.37,4.7
16:47:38,2.9,69.9,6923.73,2331.0,0.71,4.79
16:47:39,1.1,69.8,6923.74,2331.08,0.96,9.4
16:47:40,2.8,69.9,6923.95,2331.15,0.25,4.61
16:47:41,1.5,69.8,6923.95,2331.23,0.0,0.0
16:47:42,2.0,69.9,6923.95,2331.23,0.0,4.55
16:47:43,0.5,69.7,6923.95,2331.31,0.3,4.64
16:47:44,1.4,69.7,6923.95,2331.32,0.3,4.64
16:47:45,0.8,69.7,6923.95,2331.33,0.25,4.61
16:47:46,0.7,69.7,6923.95,2331.33,0.25,4.61
16:47:47,1.8,69.7,6923.95,2331.47,0.25,4.61
16:47:48,2.1,69.7,6923.95,2331.47,0.25,4.63
16:47:50,1.3,70.4,6923.95,2331.5,0.46,6.14
16:47:50,3.4,70.3,6923.95,2331.5,0.46,6.45
16:47:52,1.3,70.4,6923.95,2331.66,0.25,4.94
16:47:52,1.4,70.0,6923.95,2331.66,0.56,4.69
16:47:54,3.1,70.6,6924.41,2332.11,0.46,4.69
16:47:54,3.5,70.7,6924.41,2332.11,0.16,4.61
16:47:56,1.8,70.7,6924.51,2332.51,0.34,4.68
16:47:56,2.3,70.6,6924.51,2332.51,0.34,4.68
16:47:58,2.1,70.6,6924.53,2332.54,4.04,5.3
16:47:58,2.1,70.5,6924.53,2332.54,4.65,5.9
16:48:00,1.7,70.5,6924.53,2332.89,0.87,5.21
16:48:00,2.7,70.4,6924.53,2332.89,0.25,4.61
16:48:02,3.0,71.0,6924.56,2333.11,112.22,40.47
16:48:02,3.2,71.1,6924.56,2333.15,116.69,46.62
16:48:04,4.7,71.3,6925.27,2333.57,2135.5,59.31
16:48:04,4.6,71.7,6925.52,2335.99,2142.61,63.35
16:48:06,4.8,74.4,6935.62,2337.08,538.78,143.58
16:48:06,4.8,74.6,6935.77,2337.11,534.26,138.32
16:48:08,3.1,75.0,6936.1,2337.94,14.77,17.28
16:48:08,3.4,75.0,6936.1,2338.08,12.18,12.94
16:48:10,4.1,75.8,6937.11,2344.34,208.83,9.03
16:48:10,4.0,75.8,6937.11,2344.34,204.35,8.44
16:48:12,1.8,75.9,6937.11,2346.79,0.55,4.93
16:48:12,2.0,75.7,6937.11,2349.62,1.05,4.98
16:48:14,1.7,75.5,6937.11,2351.78,0.8,4.69
16:48:14,1.8,75.4,6937.11,2351.78,0.31,4.64
16:48:16,2.9,75.3,6937.3,2353.93,0.36,4.71
16:48:16,3.4,75.3,6937.3,2353.93,0.36,4.71
16:48:18,1.3,75.1,6937.3,2372.46,0.25,4.61
16:48:18,1.6,75.1,6937.3,2372.46,0.25,4.61
16:48:20,2.1,75.0,6937.3,2372.83,0.74,4.95
16:48:20,1.8,74.6,6937.3,2372.83,0.74,4.95
16:48:22,1.8,74.8,6937.3,2373.33,0.53,4.81
16:48:22,2.0,74.8,6937.3,2373.33,0.53,4.81
16:48:24,3.1,74.9,6937.3,2373.67,16.16,11.12
16:48:25,3.6,75.0,6937.3,2373.7,16.16,11.12
16:48:26,2.9,75.7,6937.3,2374.21,0.82,5.37
16:48:27,5.8,75.7,6937.3,2374.26,48.18,11.69
16:48:28,2.5,75.8,6937.3,2374.64,85.49,26.37
16:48:29,3.2,75.8,6937.3,2374.65,38.12,20.06
16:48:30,1.8,75.0,6937.78,2375.39,26.85,24.56
16:48:31,2.2,75.2,6937.78,2375.39,27.41,24.71
16:48:33,1.7,75.1,6937.78,2376.33,0.87,4.79
16:48:33,1.9,75.1,6937.78,2376.36,0.3,5.77
16:48:35,4.8,74.5,6937.78,2377.29,28.35,31.7
16:48:35,5.1,74.4,6937.78,2377.29,28.35,30.57
16:48:37,3.0,74.3,6937.89,2378.08,4.73,13.28
16:48:37,3.7,74.3,6937.89,2378.08,6.14,14.6
16:48:39,3.5,74.4,6938.91,2378.42,7.88,10.07
16:48:39,3.1,74.9,6938.91,2378.44,6.48,8.99
16:48:41,4.7,75.2,6938.92,2378.88,44.29,8.44
16:48:41,5.2,75.4,6938.92,2378.92,44.49,8.8
16:48:43,3.6,75.2,6938.92,2379.57,20.53,13.3
16:48:43,3.8,75.2,6938.92,2379.57,20.33,12.72
16:48:45,2.2,75.2,6938.92,2379.84,0.42,5.16
16:48:45,3.5,76.1,6938.92,2379.84,38.96,10.44
16:48:47,2.8,75.4,6938.95,2380.25,103.9,29.54
16:48:47,3.2,75.3,6938.95,2380.25,65.36,24.26
16:48:49,2.8,77.9,6939.2,2380.88,33.03,25.31
16:48:49,3.4,77.9,6939.2,2380.88,33.03,25.36
16:48:51,1.0,77.9,6939.23,2381.7,8.69,8.82
16:48:51,1.7,77.9,6939.23,2381.7,8.69,8.76
16:48:53,4.5,77.9,6941.72,2381.95,14.5,59.35
16:48:53,4.5,77.9,6941.72,2381.95,15.47,62.56
16:48:55,2.3,77.9,6941.86,2382.37,5.79,15.78
16:48:55,4.7,77.9,6942.06,2382.37,4.92,12.57
16:48:57,4.6,78.8,6950.35,2382.7,13.35,12.13
16:48:57,2.6,78.8,6950.35,2382.7,13.24,12.13
16:48:59,3.9,79.8,6968.68,2384.03,43.98,124.59
16:48:59,4.0,79.8,6968.68,2384.03,43.98,120.03
16:49:01,16.7,80.6,6971.45,2385.27,17.68,7.92
16:49:01,15.0,80.8,6971.46,2385.79,26.89,9.31
16:49:03,5.2,81.0,6974.7,2386.88,19.96,18.59
16:49:03,5.6,81.0,6974.7,2386.88,10.75,17.2
16:49:05,9.0,83.2,6975.93,2389.05,3.16,1.79
16:49:06,9.2,83.2,6975.96,2389.61,7.4,7.68
16:49:07,10.1,83.6,6976.18,2391.44,23.46,15.54
16:49:08,9.0,83.6,6976.18,2391.44,19.29,17.15
16:49:09,5.7,83.9,6979.93,2392.38,1.75,8.12
16:49:10,5.0,83.8,6979.93,2392.88,3.1,5.23
16:49:11,7.7,83.6,6979.94,2393.61,6.64,17.49
16:49:12,9.0,83.6,6979.95,2393.67,12.12,19.0
16:49:13,5.7,83.6,6979.96,2393.96,13.11,13.11
16:49:14,3.8,83.6,6979.96,2394.33,6.21,11.6
16:49:15,9.2,83.2,6979.97,2395.08,6.53,8.78
16:49:16,9.5,83.3,6980.01,2395.08,6.77,11.34
16:49:17,9.8,83.2,6980.03,2395.86,47.48,41.46
16:49:18,10.9,83.2,6980.03,2395.99,48.66,38.89
